Artist,Subgenre
Abacaxepa,['nova mpb']
Abandon All Ships,"['canadian metalcore', 'canadian post-hardcore', 'metalcore', 'trancecore']"
Abandoned,['melodic dubstep']
Abandoned By Bears,"['anthem emo', 'easycore']"
Abayomy Afrobeat Orquestra,"['afrobeat', 'afrobeat brasileiro', 'afrofuturismo brasileiro', 'brazilian indie', 'latin afrobeat', 'manguebeat']"
Abbath,"[""black 'n' roll"", 'black metal', 'death metal', 'metal', 'norwegian black metal', 'symphonic black metal']"
Abby Cates,['gen z singer-songwriter']
Abc Spanish in Motion,"['cancion infantil latinoamericana', 'musica para ninos']"
Abdias,['forro tradicional']
Abduction,['british black metal']
Abdul Majeed Abdullah,"['classic arab pop', 'khaliji']"
Abdulla Rashim,"['dub techno', 'minimal dub', 'new isolationism', 'swedish electronic', 'swedish techno']"
Abdurahman Kunnath,['malayalam madh']
Abeastnence,"['brazilian heavy metal', 'metal catarinense']"
Abel Almena,['electro latino']
Abel Korzeniowski,"['compositional ambient', 'soundtrack']"
Abel Zavala,"['latin christian', 'latin worship']"
Abelin Lagarde,"['background piano', 'instrumental lullaby']"
Aberdeen,"['c86', 'tape club']"
Abfahrt Hinwil,"['ambient idm', 'deep idm', 'drill and bass', 'intelligent dance music']"
Abhijit Banerjee,"['hindustani instrumental', 'indian classical', 'tabla']"
Abhijit Pohankar,['indian fusion']
Abhijith Ravikumar,['malayalam indie']
Abhilasha Sinha,"['indian indie', 'indian singer-songwriter']"
Abianto,"['forro instrumental', 'sanfona']"
Abida Parveen,"['classic pakistani pop', 'filmi', 'ghazal', 'sufi']"
Abie Rotenberg,['jewish pop']
Abigail Lapell,"['canadian folk', 'canadian singer-songwriter', 'new americana']"
Abigail Washburn,"['banjo', 'clawhammer banjo', 'progressive bluegrass']"
Abigail Washburn & The Sparrow Quartet,['progressive bluegrass']
Abigail Williams,"['blackened deathcore', 'deathcore', 'symphonic black metal', 'usbm']"
Abigor,"['austrian black metal', 'austrian metal', 'avant-garde metal', 'black metal', 'medieval black metal', 'symphonic black metal', 'technical black metal']"
Abillyon,"['brooklyn drill', 'new york drill', 'nyc rap']"
Abin Fang,"['malaysian mandopop', 'mandopop']"
Abingdon Boys School,"['j-metal', 'j-poprock', 'oshare kei']"
Abiotic,"['brutal deathcore', 'deathcore', 'miami metal', 'progressive deathcore', 'technical death metal', 'technical deathcore']"
Abjured,['german grindcore']
Ablaze,['gaming dubstep']
Abner Jay,"['garage punk blues', 'outsider']"
Abominable Putridity,"['brutal death metal', 'deathgrind', 'russian metal', 'slam death metal', 'technical death metal']"
Aborted,"['belgian death metal', 'belgian metal', 'brutal death metal', 'death metal', 'deathgrind', 'goregrind', 'grindcore', 'technical death metal']"
Abou Debeing,"['francoton', 'french hip hop', 'pop urbaine']"
Above & Beyond,"['edm', 'pop dance', 'progressive house', 'progressive trance', 'trance', 'uplifting trance']"
Above Only,"['christian hard rock', 'gymcore']"
Above The Law,"['g funk', 'west coast rap']"
Above This,['deep metalcore']
"Above, Below","['australian post-hardcore', 'metalcore', 'progressive metalcore']"
Abraham Mateo,"['latin arena pop', 'latin pop', 'latin viral pop', 'reggaeton', 'spanish pop']"
Abraham Vazquez,"['corrido', 'corridos tumbados', 'musica mexicana', 'norteno', 'nueva musica mexicana', 'sad sierreno', 'sierreno']"
Abraskadabra,"['brazilian hardcore', 'brazilian ska', 'modern ska punk']"
Abruptum,"['black metal', 'black noise', 'depressive black metal', 'swedish black metal', 'swedish experimental', 'swedish metal']"
Absolute Disgrace,"['metal mineiro', 'technical grindcore']"
